,commune,n_edges,n_vertices,is_commune_littorale,n_g1,n_g2,n_g3,n_g4,n_g5,n_g6,n_g7,n_g8,n_g9,n_g10,n_g11,n_g12,n_g13,n_g14,n_g15,n_g16,n_g17,n_g18,n_g19,n_g20,n_g21,n_g22,n_g23,n_g24,n_g25,n_g26,n_g27,n_g28,n_g29
0,Ajaccio,1516,1195,1,2545,92,794,4103,270,73,9,0,52,3627,6470,21,270,489,350,51,3,20,2,0,14,0,0,1,0,0,0,0,0
1,Bastia,745,561,1,1294,49,392,2187,165,30,3,0,29,1938,3580,21,177,297,127,34,4,6,4,0,11,0,0,0,0,0,0,0,0
2,Bourg-en-Bresse,1996,1502,0,3483,115,1105,5894,375,102,5,0,87,5382,9734,37,390,697,478,59,8,10,3,0,21,0,0,0,0,0,0,0,0
3,Laon,1595,1159,0,2722,134,770,4576,440,80,1,0,59,3770,7463,41,465,808,335,57,2,2,6,0,20,0,0,0,0,0,0,0,0
4,Moulins,1004,703,0,1891,56,641,3403,206,70,3,0,50,3254,6016,37,246,396,318,47,5,7,4,0,14,0,0,0,0,0,0,0,0
5,Digne-les-Bains,1330,1087,0,2131,90,607,3269,281,46,1,0,36,2688,4839,13,279,499,187,20,1,2,3,0,18,0,0,0,0,0,0,0,0
6,Gap,3321,2619,0,5437,268,1502,8478,902,145,25,0,78,6668,12702,66,955,1516,589,80,31,55,33,0,84,0,0,7,0,0,0,0,0
7,Nice,5701,4221,1,10999,207,4382,20013,774,484,13,1,547,22255,36106,198,920,1459,2660,271,12,29,10,1,80,7,0,3,0,0,0,0,0
8,Privas,475,389,0,790,20,244,1258,67,15,0,0,11,1129,1987,7,74,118,62,7,0,0,1,0,3,0,0,0,0,0,0,0,0
9,Charleville-Mézières,1946,1438,0,3603,91,1311,6303,334,154,2,0,134,6371,10930,70,413,575,768,77,0,2,14,0,27,0,0,0,1,0,0,0,0
10,Foix,758,613,0,1249,37,379,1981,120,24,0,0,22,1737,3017,6,126,219,100,16,0,0,3,0,3,0,0,0,0,0,0,0,0
11,Troyes,2121,1521,0,3922,121,1349,6998,452,136,12,0,121,6951,12256,77,521,785,586,94,20,32,23,0,56,0,0,5,0,0,0,0,0
12,Carcassonne,4176,3083,1,7312,316,2249,12419,1046,228,19,0,180,10940,20656,99,1121,1895,1108,152,23,42,23,0,47,0,0,6,0,0,0,0,0
13,Rodez,1416,1061,0,2337,123,605,3719,400,70,11,0,32,2721,5750,36,402,702,265,33,18,28,3,0,35,0,0,2,0,0,0,0,0
14,Marseille,17859,13159,1,32337,1152,10879,55766,3968,1227,79,0,987,52927,94631,517,4301,7073,5933,710,118,197,87,0,381,0,0,7,0,0,0,0,0
15,Caen,3930,2785,1,7353,236,2555,13193,838,266,17,0,244,13011,23215,152,933,1562,1252,184,21,38,18,0,66,0,0,3,0,0,0,0,0
16,Aurillac,1629,1262,0,2827,79,895,4679,262,84,5,0,50,4238,7574,29,279,473,360,52,7,12,4,0,16,0,0,0,0,0,0,0,0
17,Angoulême,2584,1875,0,4640,137,1472,7947,452,169,7,0,92,7079,13315,52,461,805,717,110,12,15,4,0,41,0,0,1,0,0,0,0,0
18,La Rochelle,4017,2853,1,7096,284,2245,12330,925,250,11,0,194,11200,20881,80,976,1699,1172,178,11,22,12,0,57,0,0,2,0,0,0,0,0
19,Bourges,3831,2876,0,6751,224,2225,11425,727,220,14,0,217,10758,18972,82,756,1315,976,122,13,28,3,0,55,0,0,4,0,0,1,0,0
20,Tulle,777,641,0,1331,22,449,2159,72,29,0,0,25,2125,3430,8,69,111,113,20,0,0,1,0,9,0,0,0,0,0,0,0,0
21,Dijon,4591,3161,0,8900,308,3292,16408,1203,372,34,0,380,16943,29744,331,1496,2205,1892,249,57,77,47,0,114,0,0,11,0,0,0,0,0
22,Saint-Brieuc,2218,1633,1,3919,129,1230,6693,413,124,6,0,82,6050,11297,41,427,740,524,80,4,12,4,0,26,0,0,0,0,0,0,0,0
23,Guéret,1295,986,0,2206,79,675,3709,268,48,2,0,43,3338,6117,33,304,501,205,39,2,3,3,0,9,0,0,0,1,0,0,0,0
24,Périgueux,1334,943,0,2529,66,912,4539,224,117,1,0,104,4502,7964,33,241,420,601,72,2,4,4,0,15,0,0,0,0,0,0,0,0
25,Besançon,3656,2701,0,6515,229,2100,11324,787,182,9,0,158,10564,19250,107,870,1496,839,132,9,24,12,0,48,0,0,2,0,0,0,0,0
26,Valence,3027,2219,0,5215,206,1580,8773,670,159,8,0,114,7570,14394,57,695,1245,710,110,12,16,8,0,36,0,0,2,0,0,0,0,0
27,Évreux,2159,1612,0,3825,129,1269,6647,429,100,6,0,116,6430,11205,67,476,826,466,89,5,12,4,0,17,0,0,0,0,0,0,0,0
28,Chartres,1662,1239,0,2966,93,973,5066,327,94,6,0,72,4746,8474,64,369,562,422,65,7,13,7,0,25,0,0,2,0,0,0,0,0
29,Quimper,6734,5336,1,10958,537,3108,17038,1732,272,48,0,188,13781,25659,176,1747,2983,1102,105,60,96,24,0,143,0,0,7,0,0,0,0,0
30,Nîmes,6932,5205,1,12791,319,4646,22472,1102,484,19,0,489,23037,39037,165,1224,2050,2555,255,25,50,21,1,77,0,0,2,0,0,0,0,0
31,Toulouse,12470,8822,0,22473,835,7173,39359,2865,792,50,0,551,35952,67552,398,3129,5194,3448,550,79,114,57,0,248,0,0,11,1,0,0,0,0
32,Auch,1621,1289,0,2715,67,876,4364,222,65,1,0,54,4030,6805,23,228,365,265,53,2,3,3,2,25,0,0,0,0,0,0,0,0
33,Bordeaux,6510,4311,1,13395,307,5332,25727,1248,670,12,0,644,28141,48537,337,1601,2387,3521,466,23,33,31,0,126,0,0,1,0,0,0,0,0
34,Montpellier,8286,6034,1,14882,521,5005,25672,1864,536,31,0,475,24455,43594,393,2083,3323,2438,294,49,71,46,0,165,0,0,3,1,0,0,0,0
35,Rennes,5818,4191,1,10766,391,3724,19111,1552,392,36,0,358,18656,33327,351,1978,2817,1897,248,72,112,85,0,161,0,0,7,0,0,1,0,0
36,Châteauroux,2162,1549,0,3942,116,1331,6949,387,147,4,0,120,6601,11974,43,422,726,726,92,7,11,5,0,19,0,0,0,0,0,0,0,0
37,Tours,5263,3695,0,10144,253,3812,18751,897,417,16,0,441,19968,33944,155,1024,1641,2111,306,18,48,28,0,77,0,0,1,0,0,0,0,0
38,Grenoble,2633,1720,0,5360,183,2061,10155,747,277,20,0,258,10733,18793,185,954,1347,1400,185,30,42,38,0,96,0,0,7,0,0,0,0,0
39,Lons-le-Saunier,870,637,0,1486,71,410,2412,245,57,3,0,19,1890,3902,29,261,404,206,21,5,5,6,0,31,0,0,1,0,0,0,0,0
40,Mont-de-Marsan,2486,1910,1,4202,179,1279,6862,562,110,15,0,97,6027,10964,42,562,1013,460,64,18,28,3,2,31,0,0,4,0,0,0,0,0
41,Blois,2151,1583,0,3722,150,1147,6419,486,83,10,0,89,5816,10735,49,508,890,381,82,15,23,11,0,20,0,0,2,0,0,0,0,0
42,Saint-Étienne,4227,3041,0,7902,270,2819,14183,986,282,27,0,303,14453,25057,184,1143,1803,1393,206,41,60,30,0,78,0,0,7,0,0,0,0,0
43,Le Puy-en-Velay,1134,869,0,1987,69,646,3340,233,59,9,0,52,3092,5473,32,249,417,273,44,13,22,5,0,21,0,0,2,0,0,0,0,0
44,Nantes,9141,6763,1,16606,441,5619,28884,1509,551,20,0,438,27794,49177,193,1665,2813,2541,410,29,45,18,0,99,0,0,2,1,0,0,0,0
45,Orléans,3247,2290,0,6221,173,2308,11395,632,271,15,0,252,11866,20684,139,730,1188,1403,166,25,37,18,0,62,0,0,3,0,0,1,0,0
46,Cahors,1279,984,0,2211,78,694,3637,247,75,6,0,50,3273,5925,18,243,423,325,35,6,13,3,0,23,0,0,1,0,0,0,0,0
47,Agen,1659,1164,0,3053,119,1009,5470,429,105,5,0,98,5204,9595,68,504,799,480,84,8,12,15,0,37,0,0,0,0,0,0,0,0
48,Mende,1022,800,0,1670,76,459,2645,251,33,6,0,18,2163,4047,19,259,403,98,32,8,15,6,1,26,0,0,1,0,0,0,0,0
49,Angers,5121,3684,0,9578,270,3422,17253,1023,330,12,0,350,17544,30519,218,1262,1952,1621,234,19,31,33,0,76,0,0,2,0,0,0,0,0
50,Saint-Lô,1554,1195,1,2553,114,711,4127,353,54,7,0,34,3418,6553,27,351,608,196,33,6,16,1,0,19,0,0,1,0,0,0,0,0
51,Châlons-en-Champagne,1752,1275,0,3200,80,1093,5589,266,124,3,0,93,5482,9564,28,270,472,529,85,3,6,5,0,30,0,0,0,0,0,0,0,0
52,Chaumont,1417,1023,0,2518,94,784,4268,313,98,3,0,57,3776,7101,39,320,539,396,60,2,6,8,0,33,0,0,0,0,0,0,0,0
53,Laval,3021,2300,0,5221,196,1633,8696,681,146,17,0,116,7833,14275,111,748,1193,628,76,32,47,23,0,47,0,0,3,0,0,0,0,0
54,Nancy,2028,1398,0,3929,123,1461,7288,433,162,12,0,175,7745,13308,72,467,774,792,116,13,26,11,0,45,0,0,5,0,0,0,0,0
55,Bar-le-Duc,998,750,0,1644,78,447,2669,228,40,6,0,26,2131,4236,7,221,408,159,29,0,5,0,0,8,0,0,6,0,0,0,0,0
56,Vannes,3624,2803,1,5901,257,1659,9464,825,133,4,0,96,7798,14889,66,853,1485,534,78,5,9,5,0,44,0,0,0,0,0,0,0,0
57,Metz,3616,2571,0,6526,278,2080,11409,995,227,28,0,185,10392,19625,131,1148,1797,1035,133,44,73,40,0,80,0,0,3,0,0,0,0,0
58,Nevers,1850,1343,0,3282,127,1038,5678,430,96,5,0,83,5251,9594,63,458,778,394,73,10,12,6,0,29,0,0,0,0,0,0,0,0
59,Lille,5130,3428,0,10286,291,3918,19352,1157,510,14,1,430,20277,35927,281,1460,2131,2608,327,19,32,50,0,130,1,0,0,1,0,0,0,0
60,Beauvais,2805,1997,0,5086,223,1631,8917,836,179,11,0,148,8221,15304,122,1000,1465,810,122,12,23,47,0,78,0,0,0,0,0,0,0,0
61,Alençon,1298,951,0,2332,75,757,4038,241,73,5,0,57,3752,6781,24,247,457,325,56,6,11,2,0,13,0,0,0,0,0,0,0,0
62,Arras,1724,1205,1,3159,129,1019,5639,435,119,7,0,92,5270,9870,57,489,803,546,92,7,17,12,0,35,0,0,1,0,0,0,0,0
63,Clermont-Ferrand,4937,3517,0,9281,319,3332,16797,1174,331,26,0,373,17110,29888,226,1360,2190,1702,201,47,59,38,0,88,0,0,4,0,0,0,0,0
64,Pau,2761,2021,1,4963,153,1681,8671,505,165,9,0,161,8460,14818,67,524,911,765,122,12,22,7,1,37,0,0,1,0,0,0,0,0
65,Tarbes,1815,1266,0,3467,106,1271,6358,357,137,8,0,153,6630,11419,47,375,648,663,96,13,23,7,0,33,0,0,0,1,0,0,0,0
66,Perpignan,7462,5231,1,13792,493,4593,24352,1631,589,29,0,438,22691,42016,184,1739,2950,2825,367,29,68,31,0,137,0,0,7,0,0,0,0,0
67,Strasbourg,5699,3930,0,11139,345,4210,20776,1349,475,23,0,513,22114,37932,325,1682,2530,2442,337,41,56,44,0,161,0,0,2,0,0,0,0,0
68,Colmar,2192,1527,0,4183,119,1487,7726,416,146,2,0,152,7937,13941,68,465,763,695,132,2,5,6,0,31,0,0,0,0,0,0,0,0
69,Lyon,6626,4274,0,14339,337,6398,28425,1405,939,22,0,1063,33634,55729,427,1783,2683,5656,467,36,57,47,0,179,0,0,3,0,0,0,0,0
70,Vesoul,1069,780,0,1820,85,505,3107,269,37,0,0,32,2589,5127,15,278,518,141,36,0,0,2,0,10,0,0,0,0,0,0,0,0
71,Mâcon,1897,1419,0,3261,137,970,5380,454,102,6,0,65,4535,8800,50,483,822,422,37,10,12,10,1,22,0,0,1,0,0,0,0,0
72,Le Mans,5367,3869,0,10027,272,3580,17898,910,396,18,0,364,18057,31425,139,1005,1687,1925,254,21,43,13,1,63,0,0,3,0,0,0,0,0
73,Chambéry,2338,1792,0,3907,180,1115,6294,620,108,4,0,71,5164,9911,83,665,1090,410,56,10,10,16,0,56,0,0,1,0,0,0,0,0
74,Annecy,5934,4396,0,9906,563,2604,16066,1889,276,44,0,139,12140,25584,147,2030,3245,1086,136,61,90,75,0,139,0,0,10,1,0,0,0,0
75,Paris,15306,9769,0,32790,842,13948,65580,3634,1676,54,0,2084,76760,128027,1154,4873,7313,9170,1160,108,153,104,0,418,0,0,6,1,0,0,0,0
76,Rouen,3217,2252,1,6327,148,2459,11714,584,277,5,0,308,12683,21326,152,712,1048,1444,181,9,11,19,0,58,0,0,0,0,0,0,0,0
77,Melun,962,659,0,1838,64,639,3327,241,80,2,0,68,3268,5914,48,287,425,362,61,3,5,9,0,21,0,0,0,0,0,0,0,0
78,Versailles,1597,1087,0,3148,104,1194,5767,386,179,15,0,139,5907,10476,85,457,709,947,76,18,32,11,0,43,0,0,3,0,0,1,0,0
79,Niort,4817,3598,0,8167,338,2412,13689,1072,194,15,0,176,11902,22234,76,1105,1953,803,138,16,33,16,0,55,0,0,2,0,0,0,0,0
80,Amiens,4155,3047,1,7508,248,2520,13148,831,240,17,0,231,12716,22651,124,896,1559,1138,172,19,42,6,0,54,0,0,4,0,0,0,0,0
81,Albi,3171,2466,0,5379,197,1643,8926,645,114,6,0,108,8089,14494,61,678,1158,466,76,7,15,10,0,35,0,0,0,0,0,0,0,0
82,Montauban,3901,2914,0,6805,239,2127,11554,767,206,8,0,161,10442,19212,57,787,1397,912,116,5,15,11,0,52,0,0,0,0,0,1,0,0
83,Toulon,5171,3885,1,9542,246,3399,16491,911,346,13,0,311,16372,27814,168,1057,1605,1649,204,19,29,29,0,91,0,0,2,0,0,0,0,0
84,Avignon,5731,4289,0,9975,386,3037,16706,1360,295,13,0,196,14470,27396,186,1536,2450,1279,166,28,29,47,0,88,0,0,0,0,0,0,0,0
85,La Roche-sur-Yon,4193,3107,1,7120,349,2088,11943,1152,204,23,0,169,10260,19548,96,1211,2019,915,123,34,60,31,0,95,0,0,15,0,0,0,0,0
86,Poitiers,4360,3225,0,7669,316,2418,13096,1108,244,25,0,192,11854,21933,158,1268,2021,1114,141,36,56,29,0,93,0,0,5,0,0,0,0,0
87,Limoges,6625,4803,0,11824,482,3740,20558,1689,373,24,0,309,18691,34934,242,1912,3199,1719,275,37,61,33,1,114,0,0,3,0,0,0,0,0
88,Épinal,1894,1431,0,3237,132,1002,5368,437,97,6,0,78,4737,8687,58,467,827,434,58,13,15,5,0,25,0,0,0,1,0,0,0,0
89,Auxerre,2119,1557,0,3874,113,1323,6897,389,106,7,0,115,6866,11955,58,433,728,492,94,13,15,4,0,25,0,0,2,0,0,0,0,0
90,Belfort,1543,1088,0,3023,59,1170,5539,218,142,4,0,133,5953,9863,38,247,401,705,101,7,12,7,0,26,0,0,0,0,0,0,0,0
91,Évry,955,739,0,1624,64,527,2692,206,45,6,0,47,2570,4299,29,211,382,190,28,8,12,1,0,21,0,0,0,0,0,0,0,0
92,Nanterre,1550,1097,0,2933,88,1050,5335,307,109,6,0,109,5457,9456,58,340,595,515,80,6,14,4,0,30,0,0,1,0,0,0,0,0
93,Bobigny,894,628,0,1670,46,553,2920,159,74,4,0,43,2662,5049,25,188,290,329,43,3,7,8,0,11,0,0,0,0,0,0,0,0
94,Créteil,1457,1022,0,2726,92,956,4930,324,100,8,0,94,4945,8834,77,369,566,467,59,8,17,6,1,36,0,0,0,0,0,0,0,0
95,Pontoise,764,552,0,1382,59,430,2348,234,50,6,0,25,2065,3910,52,278,371,197,42,8,17,16,0,29,0,0,1,0,0,0,0,0
96,Basse-Terre,798,604,1,1394,53,446,2328,175,52,0,0,40,2107,3821,17,175,317,250,20,0,0,2,0,17,0,0,0,0,0,0,0,0
97,Fort-de-France,3635,2777,1,6481,185,2179,10975,591,245,10,0,170,10401,18306,56,601,1040,1239,123,9,20,3,0,47,0,0,2,0,0,0,0,0
98,Cayenne,2080,1543,1,3831,111,1407,6732,370,182,7,0,161,6865,11804,34,398,653,1054,75,9,14,7,0,28,0,0,1,1,0,0,0,0
99,Saint-Denis,4702,3716,1,8322,186,2893,14117,619,237,4,0,228,14098,23556,63,674,1166,1219,142,2,8,9,0,34,0,0,0,0,0,0,0,0
